Tahun;Bulan;Negara;Komoditas;Volume;Tabel Harga
2022;November;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;December;SOUTH AFRICA;Adas Manis;1250.0;7.705
2022;January;UNITED STATES;Adas Manis;1340.0;4.8
2022;February;UNITED STATES;Adas Manis;1340.0;4.8
2022;March;UNITED STATES;Adas Manis;1340.0;4.8
2022;April;UNITED STATES;Adas Manis;1340.0;4.8
2022;May;UNITED STATES;Adas Manis;1340.0;4.8
2022;June;UNITED STATES;Adas Manis;1340.0;4.8
2022;July;UNITED STATES;Adas Manis;1340.0;4.8
2022;August;UNITED STATES;Adas Manis;1340.0;4.8
2022;September;UNITED STATES;Adas Manis;1340.0;4.8
2022;October;UNITED STATES;Adas Manis;1340.0;4.8
2022;November;UNITED STATES;Adas Manis;1817.2;10.76
2022;December;UNITED STATES;Adas Manis;1340.0;4.8
2023;January;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;February;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;March;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;April;BELGIUM;Adas Manis;360.0;8.89
2023;May;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;June;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;July;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;August;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;September;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;October;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;November;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;December;BELGIUM;Adas Manis;1000.0;5.5600000000000005
2023;January;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;February;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;March;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;April;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;May;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;June;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;July;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;August;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;September;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;October;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;November;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;December;BRUNEI DARUSSALAM;Adas Manis;8.0;4.29
2023;January;MAURITIUS;Adas Manis;50.0;13.5
2023;February;MAURITIUS;Adas Manis;50.0;14.5
2023;March;MAURITIUS;Adas Manis;50.0;14.5
2023;April;MAURITIUS;Adas Manis;50.0;14.5
2023;May;MAURITIUS;Adas Manis;50.0;14.5
2023;June;MAURITIUS;Adas Manis;50.0;14.5
2023;July;MAURITIUS;Adas Manis;50.0;14.5
2023;August;MAURITIUS;Adas Manis;50.0;14.5
2023;September;MAURITIUS;Adas Manis;50.0;14.5
2023;October;MAURITIUS;Adas Manis;50.0;14.5
2023;November;MAURITIUS;Adas Manis;50.0;14.5
2023;December;MAURITIUS;Adas Manis;50.0;14.5
2023;January;UNITED STATES;Adas Manis;2000.0;10.34
2023;February;UNITED STATES;Adas Manis;1340.0;4.8
2023;March;UNITED STATES;Adas Manis;1340.0;4.8
2023;April;UNITED STATES;Adas Manis;1791.72;10.37
2023;May;UNITED STATES;Adas Manis;1340.0;4.8
2023;June;UNITED STATES;Adas Manis;1340.0;4.8
2023;July;UNITED STATES;Adas Manis;1340.0;4.8
2023;August;UNITED STATES;Adas Manis;1340.0;4.8
2023;September;UNITED STATES;Adas Manis;1340.0;4.8
2023;October;UNITED STATES;Adas Manis;1340.0;4.8
2023;November;UNITED STATES;Adas Manis;1340.0;4.8
2023;December;UNITED STATES;Adas Manis;1340.0;4.8
2017;January;AUSTRALIA;ASAM;88.55;4.62
2017;February;AUSTRALIA;ASAM;18.0;4.62
2017;March;AUSTRALIA;ASAM;18.0;4.62
2017;April;AUSTRALIA;ASAM;18.0;4.62
2017;May;AUSTRALIA;ASAM;18.0;4.62
2017;June;AUSTRALIA;ASAM;18.0;4.62
2017;July;AUSTRALIA;ASAM;18.0;4.62
2017;August;AUSTRALIA;ASAM;18.0;4.62
2017;September;AUSTRALIA;ASAM;18.0;4.62
2017;October;AUSTRALIA;ASAM;18.0;4.62
2017;November;AUSTRALIA;ASAM;18.0;4.62
2017;December;AUSTRALIA;ASAM;18.0;4.62
2017;January;CHINA;ASAM;94520.0;2.96
2017;February;CHINA;ASAM;81880.0;3.0
2017;March;CHINA;ASAM;33355.0;1.0150000000000001
2017;April;CHINA;ASAM;33355.0;1.0150000000000001
2017;May;CHINA;ASAM;33355.0;1.0150000000000001
2017;June;CHINA;ASAM;33355.0;1.0150000000000001
2017;July;CHINA;ASAM;33355.0;1.0150000000000001
2017;August;CHINA;ASAM;33355.0;1.0150000000000001
2017;September;CHINA;ASAM;33355.0;1.0150000000000001
2017;October;CHINA;ASAM;33355.0;1.0150000000000001
2017;November;CHINA;ASAM;33355.0;1.0150000000000001
2017;December;CHINA;ASAM;33355.0;1.0150000000000001
2017;January;HONG KONG;ASAM;100.0;8.83
2017;February;HONG KONG;ASAM;100.0;8.83
2017;March;HONG KONG;ASAM;100.0;8.83
2017;April;HONG KONG;ASAM;100.0;8.83
2017;May;HONG KONG;ASAM;100.0;8.83
2017;June;HONG KONG;ASAM;1.0;0.75
2017;July;HONG KONG;ASAM;100.0;8.83
2017;August;HONG KONG;ASAM;100.0;8.83
2017;September;HONG KONG;ASAM;100.0;8.83
2017;October;HONG KONG;ASAM;100.0;8.83
2017;November;HONG KONG;ASAM;100.0;8.83
2017;December;HONG KONG;ASAM;100.0;8.83
2017;January;INDIA;ASAM;21000.0;2.78
2017;February;INDIA;ASAM;5000.0;3.08
2017;March;INDIA;ASAM;13000.0;2.9299999999999997
2017;April;INDIA;ASAM;13000.0;2.9299999999999997
2017;May;INDIA;ASAM;13000.0;2.9299999999999997
2017;June;INDIA;ASAM;13000.0;2.9299999999999997
2017;July;INDIA;ASAM;13000.0;2.9299999999999997
2017;August;INDIA;ASAM;13000.0;2.9299999999999997
2017;September;INDIA;ASAM;13000.0;2.9299999999999997
2017;October;INDIA;ASAM;13000.0;2.9299999999999997
2017;November;INDIA;ASAM;13000.0;2.9299999999999997
2017;December;INDIA;ASAM;13000.0;2.9299999999999997
2017;January;MALAYSIA;ASAM;8955.0;1.025
2017;February;MALAYSIA;ASAM;8955.0;1.025
2017;March;MALAYSIA;ASAM;8955.0;1.025
2017;April;MALAYSIA;ASAM;8955.0;1.025
2017;May;MALAYSIA;ASAM;8955.0;1.025
2017;June;MALAYSIA;ASAM;8955.0;1.025
2017;July;MALAYSIA;ASAM;8955.0;1.025
2017;August;MALAYSIA;ASAM;8955.0;1.025
2017;September;MALAYSIA;ASAM;9000.0;3.49
2017;October;MALAYSIA;ASAM;8955.0;1.025
2017;November;MALAYSIA;ASAM;8955.0;1.025
2017;December;MALAYSIA;ASAM;8955.0;1.025
2017;January;PAKISTAN;ASAM;55000.0;0.415
2017;February;PAKISTAN;ASAM;55000.0;0.415
2017;March;PAKISTAN;ASAM;55000.0;0.415
2017;April;PAKISTAN;ASAM;55000.0;0.415
2017;May;PAKISTAN;ASAM;55000.0;0.415
2017;June;PAKISTAN;ASAM;55000.0;0.415
2017;July;PAKISTAN;ASAM;55000.0;0.415
2017;August;PAKISTAN;ASAM;55000.0;0.415
2017;September;PAKISTAN;ASAM;74850.0;0.32
2017;October;PAKISTAN;ASAM;49900.0;0.69
2017;November;PAKISTAN;ASAM;55000.0;0.415
2017;December;PAKISTAN;ASAM;55000.0;0.415
2017;January;SAUDI ARABIA;ASAM;4.0;2.2
2017;February;SAUDI ARABIA;ASAM;16000.0;2.6
2017;March;SAUDI ARABIA;ASAM;7170.0;2.4000000000000004
2017;April;SAUDI ARABIA;ASAM;7170.0;2.4000000000000004
2017;May;SAUDI ARABIA;ASAM;7170.0;2.4000000000000004
